# Hand labels for the open-ended turns. Fill faithfulness and citation_quality.
# Scale: 0.0, 0.25, 0.5, 0.75, 1.0. Leave blank to exclude a turn from kappa.
# draft_excerpt and cited_chunks are context only; the loader reads neither.
# n=22 is the size scripts/kappa_power.py gives for the faithfulness interval to
# clear zero at the observed point estimate. It is a floor and assumes new turns
# behave like the old ones, so treat it as optimistic.
# Labelling rules: data/LABELLING.md.
turn_id,faithfulness,citation_quality,draft_excerpt,cited_chunks
T051,,,"Primary care appointments are released four weeks ahead, and orthopaedic and imaging slots two weeks ahead because those","[scheduling-policy.md#1] Primary care appointments are released four weeks ahead. Orthopaedic and imaging slots are released two weeks ahead because those lists change more often. If nothing suitable is showing, the clinic ca || [scheduling-policy.md#0] Routine appointments can be booked through the patient portal or by calling the clinic during working hours. When you book you will be asked for your date of birth and your medical record number so th || [scheduling-policy.md#3] Giving at least two working days notice lets the slot go to someone else. Two missed appointments without notice in a twelve month period prompts a letter from the clinic. Some bookings always need a  || [clinical-faq.md#5] If you miss an appointment, the clinic holds your referral open for eight weeks. Within that window you can rebook at the same priority. After eight weeks the referral closes and your general practiti"
T052,,,"The clinic holds your referral open for eight weeks, and within that window you can rebook at the same priority.","[clinical-faq.md#5] If you miss an appointment, the clinic holds your referral open for eight weeks. Within that window you can rebook at the same priority. After eight weeks the referral closes and your general practiti || [clinical-faq.md#4] Messages are read during working hours, Monday to Friday. If something cannot wait until the next working day, the correct route is the on-call service rather than the portal. If you miss an appointme || [clinical-faq.md#6] After eight weeks the referral closes and your general practitioner has to send a new one. Missed imaging appointments are followed up by the imaging team directly, because scanner slots are released  || [scheduling-policy.md#3] Giving at least two working days notice lets the slot go to someone else. Two missed appointments without notice in a twelve month period prompts a letter from the clinic. Some bookings always need a "
T053,,,Interpreting services are free and can be booked for any appointment. Ask when you book and the clinic will arrange the ,[clinical-faq.md#7] Interpreting services are free and can be booked for any appointment. Ask when you book and the clinic will arrange it for the language you prefer. Test results are released to the patient portal once
T054,,,"A routine refill request is processed within two working days, and a controlled medicine needs a clinician review first ","[clinical-faq.md#2] A routine refill request is processed within two working days. A refill for a controlled medicine needs a review by the prescribing clinician first, so allow five working days. The care team will not  || [clinical-faq.md#1] Two visitors are allowed at the bedside at any one time. Prescription refills are requested through the patient portal or by asking the pharmacy team at your next visit. A routine refill request is pr || [clinical-faq.md#5] If you miss an appointment, the clinic holds your referral open for eight weeks. Within that window you can rebook at the same priority. After eight weeks the referral closes and your general practiti"
T055,,,Cancel the existing appointment first and then book the new one. Giving at least two working days notice lets the slot g,"[scheduling-policy.md#2] If nothing suitable is showing, the clinic can add you to the short notice list. To reschedule, cancel the existing appointment first and then book the new one. Giving at least two working days notice || [scheduling-policy.md#3] Giving at least two working days notice lets the slot go to someone else. Two missed appointments without notice in a twelve month period prompts a letter from the clinic. Some bookings always need a "
T056,,,"Results are released to the patient portal once a clinician has reviewed them, and that review is what takes the time ra","[clinical-faq.md#8] Test results are released to the patient portal once a clinician has reviewed them. That review is what takes the time, not the laboratory. Results are not read out over the phone by administrative st"
T057,,,Results are not read out over the phone by administrative staff. They are released to the patient portal after a clinici,"[clinical-faq.md#8] Test results are released to the patient portal once a clinician has reviewed them. That review is what takes the time, not the laboratory. Results are not read out over the phone by administrative st"
T058,,,"Bookings needing an interpreter or transport, ones where funding details do not match the record, patients already on an","[scheduling-policy.md#4] Some bookings always need a human scheduler rather than self service. Those are: appointments that need an interpreter, appointments that need transport, any booking where the insurance or funding det || [scheduling-policy.md#5] If a booking fails in the system, the clinic does not leave it there. The request goes to a scheduler who calls the patient back the same working day. Imaging appointments that are missed are followed"
T059,,,"The request goes to a scheduler who calls you back the same working day, so the booking is not left where it failed.","[scheduling-policy.md#5] If a booking fails in the system, the clinic does not leave it there. The request goes to a scheduler who calls the patient back the same working day. Imaging appointments that are missed are followed || [scheduling-policy.md#4] Some bookings always need a human scheduler rather than self service. Those are: appointments that need an interpreter, appointments that need transport, any booking where the insurance or funding det || [scheduling-policy.md#3] Giving at least two working days notice lets the slot go to someone else. Two missed appointments without notice in a twelve month period prompts a letter from the clinic. Some bookings always need a "
T060,,,"Two visitors are allowed at the bedside at any one time, and visiting hours on the general wards are 11am to 8pm every d",[clinical-faq.md#0] Visiting hours on the general wards are 11am to 8pm every day. Intensive care and the paediatric ward set their own hours and the ward clerk will tell you what they are when you arrive. Two visitors a || [clinical-faq.md#1] Two visitors are allowed at the bedside at any one time. Prescription refills are requested through the patient portal or by asking the pharmacy team at your next visit. A routine refill request is pr
T063,,,Two missed appointments without notice in a twelve month period prompts a letter from the clinic.,"[scheduling-policy.md#5] If a booking fails in the system, the clinic does not leave it there. The request goes to a scheduler who calls the patient back the same working day. Imaging appointments that are missed are followed || [scheduling-policy.md#3] Giving at least two working days notice lets the slot go to someone else. Two missed appointments without notice in a twelve month period prompts a letter from the clinic. Some bookings always need a  || [scheduling-policy.md#6] Imaging appointments that are missed are followed up by the imaging team. If you missed a scan, expect a call offering you a new slot rather than having to chase it yourself. || [scheduling-policy.md#2] If nothing suitable is showing, the clinic can add you to the short notice list. To reschedule, cancel the existing appointment first and then book the new one. Giving at least two working days notice"
T064,,,"Missed imaging appointments are followed up by the imaging team directly, because scanner slots are released quickly. Ex","[scheduling-policy.md#6] Imaging appointments that are missed are followed up by the imaging team. If you missed a scan, expect a call offering you a new slot rather than having to chase it yourself. || [scheduling-policy.md#5] If a booking fails in the system, the clinic does not leave it there. The request goes to a scheduler who calls the patient back the same working day. Imaging appointments that are missed are followed || [clinical-faq.md#6] After eight weeks the referral closes and your general practitioner has to send a new one. Missed imaging appointments are followed up by the imaging team directly, because scanner slots are released  || [scheduling-policy.md#1] Primary care appointments are released four weeks ahead. Orthopaedic and imaging slots are released two weeks ahead because those lists change more often. If nothing suitable is showing, the clinic ca"
